Point ID,Local_N,Local_E,Local_Z,interp_Z
5,4621601.18,385924.0487,2.8989,2.957
6,4621600.72,385924.4364,2.9419,2.985
7,4621600.74,385924.4032,2.9379,2.983
8,4621570.795,385932.4255,3.4181,3.579
9,4621550.622,385960.5784,2.1262,2.165
10,4621545.638,385990.3527,2.274,2.3752
11,4621536.262,386011.5767,1.983,2.0612
12,4621525.232,386025.0516,3.932,3.9792
13,4621516.255,386036.1507,2.486,2.5223
14,4621504.708,386055.4914,1.483,1.5163
15,4621497.57,386042.3851,4.8104,4.86
16,4621472.025,386057.9148,6.886,6.9196
17,4621442.861,386074.1091,8.263,8.2828
18,4621430.803,386091.7919,8.999,9.0179
19,4621447.04,386100.6346,10.421,10.517
20,4621457.551,386121.8637,8.271,8.3445
21,4621458.906,386132.2491,6.048,6.0855
22,4621475.88,386130.2263,7.5433,7.606
23,4621488.164,386136.1069,9.217,9.3042
25,4621465.552,386154.9914,8.836,8.8753
26,4621441.779,386161.9557,7.463,7.5385
27,4621422.454,386171.2881,6.764,6.8457
28,4621415.124,386181.4402,7.125,7.1477
29,4621379.723,386171.9626,10.4,10.4711
30,4621367.656,386183.0591,11.22,11.2742
31,4621336.165,386173.6939,9.017,9.0775
32,4621328.765,386197.4987,9.431,9.4785
33,4621283.181,386191.0969,11.36,11.437
34,4621261.875,386191.2767,9.372,9.4242
35,4621268.995,386174.748,6.1462,6.189
36,4621290.464,386149.331,4.4101,4.446
37,4621309.746,386133.2167,3.918,3.9489
38,4621340.955,386121.5898,8.736,8.7947
39,4621358.206,386108.4244,10.34,10.3815
40,4621357.638,386090.349,9.1306,9.214
41,4621362.736,386069.3294,6.962,7.01
42,4621361.069,386034.1605,4.553,4.6548
43,4621353.933,386019.1543,5.48,5.53
44,4621364.324,385993.8125,2.725,2.7759
45,4621371.158,385976.319,2.3359,2.386
46,4621394.99,385950.4762,2.0318,2.062
47,4621397.605,385929.3052,2.656,2.7058
48,4621382.295,385921.9703,3.99,4.028
49,4621366.244,385930.8484,4.595,4.64
50,4621342.723,385945.2778,2.94,2.9513
51,4621324.189,385938.3514,5.513,5.5345
52,4621305.209,385955.1144,6.592,6.6546
53,4621308.765,385985.3751,10.12,10.1365
55,4621259.044,386020.8025,11.49,11.5528
56,4621266.345,386058.6106,3.769,3.8296
57,4621290.691,386085.1493,5.04,5.1213
58,4621267.27,386102.4937,6.5935,6.683
59,4621252.531,386132.7169,11.26,11.3255
60,4621241.163,386150.2502,15.37,15.3646
61,4621232.92,386169.8082,14.874,14.956
62,4621229.138,386194.3712,12.95,12.9905
63,4621205.894,386165.1536,10.84,10.9369
64,4621204.458,386166.5164,10.53,10.6239
65,4621202.254,386168.2853,10.36,10.4119
67,4621164.577,386176.2797,2.931,3.0152
68,4621144.445,386185.4556,1.938,2.0524
69,4621167.005,386210.0992,3.859,3.9291
70,4621159.932,386225.1335,2.069,2.1481
71,4621166.192,386235.2814,3.146,3.23
72,4621157.922,386261.5096,2.774,2.818
73,4621161.523,386279.1555,4.122,4.1659
74,4621181.356,386290.1816,2.001,2.0677
75,4621197.82,386289.4326,3.0295,3.093
76,4621198.438,386308.7728,2.321,2.4445
77,4621207.42,386329.118,2.2943,2.356
78,4621221.145,386335.1348,4.564,4.5622
79,4621234.313,386343.1542,2.721,2.772
80,4621247.066,386346.1055,4.619,4.7059
81,4621259.502,386351.9905,2.464,2.5087
82,4621280.53,386361.3331,2.3015,2.36
83,4621296.968,386339.3136,2.052,2.1344
84,4621303.069,386314.8305,3.126,3.1724
86,4621323.812,386339.5827,2.144,2.2611
87,4621350.755,386347.793,3.1218,3.172
88,4621379.348,386356.9693,2.365,2.4155
89,4621402.524,386370.8294,3.319,3.38
90,4621423.855,386391.1713,7.633,7.7339
91,4621420.267,386397.3679,7.444,7.5439
92,4621390.06,386397.1687,6.5192,6.626
93,4621373.873,386407.7414,5.846,5.9384
94,4621355.775,386395.1027,2.969,3.0186
95,4621330.193,386402.3546,1.887,1.9958
96,4621301.627,386407.4719,1.958,2.0281
97,4621285.937,386414.3208,4.508,4.5492
98,4621269.447,386409.2528,1.672,1.7054
99,4621227.24,386380.8066,4.8189,4.861
100,4621216.784,386369.1343,3.91,3.93791
101,4621198.14,386368.2683,2.576,2.6473
102,4621195.435,386353.55,4.5984,4.659
103,4621190.341,386345.1952,2.09,2.14474
104,4621167.241,386356.1752,2.09,2.16536
105,4621156.681,386372.884,1.582,1.6347
106,4621150.674,386358.3859,3.88,3.98488
107,4621153.58,386339.125,6.0318,6.121
108,4621161.718,386301.0814,3.3,3.40489
109,4621150.835,386290.4406,3.09,3.1764
110,4621124.81,386290.261,3.9423,3.994
111,4621114.414,386295.9171,2.81,2.84794
112,4621098.42,386302.0638,3.461,3.5385
113,4621090.992,386302.7489,3.22,3.30376
114,4621073.43,386315.5238,2.175,2.2367
115,4621060.287,386315.7394,2.26,2.32219
116,4621048.427,386309.2202,3.39,3.4698
117,4621037.894,386307.4053,1.61,1.68331
118,4621040.927,386287.9785,1.65,1.71941
119,4621047.868,386261.815,1.706,1.7351
120,4621050.872,386239.1674,1.63,1.68
121,4621052.276,386204.4555,1.68,1.73613
122,4621058.427,386177.3649,1.85,1.90523
123,4621083.134,386150.8299,2.49,2.52481
124,4621099.346,386161.4468,2.49,2.58389
125,4621105.937,386143.8507,3.49,3.56
126,4621117.389,386139.3868,2.48,2.55828
127,4621127.322,386110.8617,3.8,3.88508
128,4621151.488,386108.8273,5.63,5.67506
129,4621159.481,386088.7083,8.02,8.19826
130,4621146.411,386067.3266,3.18,3.27598
131,4621144.384,386045.6309,5.56,5.61
132,4621143.899,386026.4726,7.26,7.40479
133,4621132.923,386011.3388,9.89,10.0591
134,4621132.068,386010.6828,9.97,10.1311
135,4621142.452,386007.1426,11.2,11.25
136,4621160.279,386010.3257,12.2,12.31248
137,4621176.83,386017.3646,12.79,12.8566
138,4621201.679,386024.7355,12.3,12.51984
139,4621230.771,386026.137,11.24,11.2951
140,4621231.221,386010.6279,7.55,7.56311
141,4621249.212,385999.603,7.281,7.337
